,Year,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
0,2021,Philadelphia Eagles,13,412,2080,19,34,5.0,160.0,18,49.60
1,2021,Indianapolis Colts,13,383,1972,20,83,5.1,151.7,17,56.28
2,2021,Baltimore Ravens,13,407,1883,14,35,4.6,144.8,16,32.06
3,2021,Cleveland Browns,13,375,1865,17,70,5.0,143.5,18,36.74
4,2021,Tennessee Titans,13,413,1791,19,76,4.3,137.8,17,26.79
5,2021,Dallas Cowboys,13,366,1670,11,58,4.6,128.5,18,4.10
6,2021,Chicago Bears,13,365,1638,10,41,4.5,126.0,19,22.62
7,2021,San Francisco 49ers,13,378,1611,17,49,4.3,123.9,16,-3.01
8,2021,New England Patriots,13,380,1606,15,64,4.2,123.5,14,-2.18
9,2021,Minnesota Vikings,13,361,1601,9,66,4.4,123.2,16,-21.71
10,2021,Denver Broncos,13,350,1600,12,70,4.6,123.1,9,1.29
11,2021,Washington Football Team,13,377,1593,9,38,4.2,122.5,20,-2.63
12,2021,Arizona Cardinals,13,394,1593,21,54,4.0,122.5,25,4.16
13,2021,New Orleans Saints,13,382,1579,12,44,4.1,121.5,11,5.07
14,2021,Buffalo Bills,13,329,1573,13,46,4.8,121.0,19,17.62
15,2021,Kansas City Chiefs,13,324,1452,12,51,4.5,111.7,19,10.63
16,2021,Detroit Lions,13,312,1436,9,57,4.6,110.5,15,-2.54
17,2021,Carolina Panthers,13,359,1426,15,30,4.0,109.7,15,-0.64
18,2021,Cincinnati Bengals,13,352,1413,15,46,4.0,108.7,17,-18.85
19,2021,Green Bay Packers,13,338,1399,9,57,4.1,107.6,16,5.75
20,2021,Los Angeles Chargers,13,307,1364,12,75,4.4,104.9,7,14.75
21,2021,Seattle Seahawks,13,299,1357,12,73,4.5,104.4,15,14.42
22,2021,Jacksonville Jaguars,13,288,1335,11,66,4.6,102.7,19,-13.88
23,2021,Los Angeles Rams,13,311,1264,8,29,4.1,97.2,10,-13.92
24,2021,Tampa Bay Buccaneers,13,292,1248,14,47,4.3,96.0,11,26.93
25,2021,New York Giants,13,303,1225,8,46,4.0,94.2,16,-9.07
26,2021,Atlanta Falcons,13,318,1184,8,39,3.7,91.1,18,-33.00
27,2021,Pittsburgh Steelers,13,308,1149,8,26,3.7,88.4,15,-14.45
28,2021,Las Vegas Raiders,13,288,1100,11,31,3.8,84.6,18,-37.02
29,2021,New York Jets,13,277,1094,9,39,3.9,84.2,11,1.50
30,2021,Miami Dolphins,13,311,1030,9,24,3.3,79.2,22,-34.71
31,2021,Houston Texans,13,310,1008,6,35,3.3,77.5,16,-53.24
